number of practice,ground_truth,kid_input,result,number ask for help,demo_on_or_not
1.0,|['3', '9', '8']|,['9'],2,0,0
2.0,|['3', '3', '7']|,['0'],3,0,1
3.0,|['5', '7']|,['0'],2,0,0
4.0,|['a', '2']|,['2'],2,0,0
5.0,|['9', '7', '5']|,|['2', '2', '5']|,2,2,0
6.0,|['6', '3']|,|['6', '6', '3']|,1,100,0
7.0,|['4', '6', 'b']|,['6'],2,2,0
8.0,|['3', '2', '3']|,|['3', '9']|,2,2,0
9.0,|['5', '9', '3']|,|['3', '3', '5']|,2,0,0
10.0,|['9', '2']|,|['2', '2', '9']|,1,100,0
11.0,|['7', '1', '3']|,['0'],3,2,0
12.0,|['1', '1']|,['1'],1,100,1
13.0,|['5', 'a', 'b']|,['0'],3,0,0
14.0,|['5', 'b', '2']|,['b'],2,0,1
15.0,|['4', '4']|,['0'],2,0,0
16.0,|['3', '1', '6']|,|['3', '8', '8']|,2,0,0
17.0,|['6', '3', '1']|,|['a', '7', '6']|,3,2,0
18.0,|['3', '3']|,['0'],2,2,0
19.0,|['b', '2']|,['0'],2,0,1
20.0,|['3', '3']|,|['a', 'a']|,2,0,0
