number of practice,ground_truth,kid_input,result,number ask for help,demo_on_or_not
1.0,|['6', '8', '8', '8', '5', '6']|,|['4', '6', '6', '8', '8', '8']|,2,100,0
2.0,|['4', '4', '1', '2', '4', '4']|,|['2', '3', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '2', '2', '3', '3', '4', '4', '4', '4', '4', '4', '1']|,2,100,0
3.0,|['8', '9', 'b', 'b', 'b', '8', '9', 'b']|,|['9', 'b', 'b', 'b', 'b', 'b', 'b', '8', '9', 'a', '9', '9', 'b', 'b', 'b', 'b', '8', '9', 'b']|,2,100,1
4.0,|['1', '2', '4', '4', '4', '1']|,|['2', '2', '4', '4', '4', '1', '2', '2']|,4,0,1
5.0,|['8', '8', '5', '6', '8', '8', '8']|,['7'],7,0,0
6.0,|['8', '9', 'b', 'b', 'b', '8']|,|['8', '9', 'b', 'b', 'b', '8']|,0,100,0
7.0,|['2', '4', '4', '4', '1', '2', '4', '4']|,|['1', '2', '2', '4', '4', '4', '4', '1', '2', '2', '4']|,2,100,1
8.0,|['b', 'b', '8', '9', 'b', 'b', 'b']|,|['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', '8']|,2,100,0
9.0,|['6', '8', '8', '8', '5', '6', '8', '8']|,|['6', '6', '6', '8', '8', '8', '5', '6', '6', '8']|,2,100,0
10.0,|['4', '4', '4', '1', '2', '4', '4', '4']|,|['1', '4', '4']|,2,100,0
